price_ori,item_rating,price_actual,total_rating,total_sold,favorite,Type of product,Type of product_2,date_date,from,to,fees
82.0,5.0,39.36,3.0,3.0,24.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
40.9,4.8,40.9,123.0,242.0,744.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
37.0,3.0,27.75,1.0,4.0,69.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
44.0,5.0,44.0,6.0,7.0,27.0,women's clothing,dresses,2020-11-23,local,kuala lumpur,0.0
19.0,4.9,19.0,42.0,84.0,27.0,men's clothing,innerwear,2020-11-23,local,kuala lumpur,0.0
34.0,4.6,29.0,7.0,13.0,208.0,women's clothing,tops,2020-11-23,local,kuala lumpur,0.0
126.34,4.9,37.83,350.0,645.0,645.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
41.99,4.9,41.15,51.0,79.0,306.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
44.97,4.8,44.97,6.0,8.0,141.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
26.9,4.8,14.79,25.0,59.0,182.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
31.5,4.7,31.5,285.0,577.0,577.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
65.8,4.9,31.58,50.0,104.0,176.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
39.44,4.8,19.38,16.0,32.0,179.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
79.0,4.0,79.0,1.0,1.0,26.0,women's clothing,tops,2020-11-23,local,kuala lumpur,0.8200000000000001
99.9,5.0,40.0,3.0,5.0,18.0,women's clothing,dresses,2020-11-23,local,kuala lumpur,0.0
48.9,5.0,48.9,3.0,4.0,132.0,women's clothing,dresses,2020-11-23,local,kuala lumpur,0.0
39.9,5.0,39.9,1.0,2.0,9.0,women's clothing,tops,2020-11-23,local,kuala lumpur,0.0
29.9,4.7,29.9,6.0,13.0,100.0,women's clothing,dresses,2020-11-23,local,kuala lumpur,0.0
48.0,4.9,47.04,27.0,55.0,175.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
45.0,4.9,45.0,20.0,43.0,349.0,muslim fashion,muslimah bottoms,2020-11-23,local,kuala lumpur,0.0
123.0,4.8,36.9,8.0,17.0,52.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
61.0,5.0,61.0,4.0,5.0,66.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
33.6,4.6,33.6,20.0,47.0,190.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
44.69,4.6,24.61,10.0,14.0,167.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
33.8,5.0,28.0,6.0,12.0,131.0,women's clothing,tops,2020-11-23,local,kuala lumpur,0.0
24.0,4.8,14.4,10.0,16.0,138.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
115.0,5.0,115.0,2.0,2.0,34.0,women's clothing,pants & shorts,2020-11-23,local,kuala lumpur,0.0
81.0,5.0,38.88,1.0,5.0,24.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
41.6,5.0,41.6,1.0,3.0,39.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
79.9,4.9,40.0,18.0,19.0,159.0,women's clothing,pants & shorts,2020-11-23,local,kuala lumpur,0.0
70.19,4.6,70.19,66.0,138.0,138.0,women's clothing,dresses,2020-11-23,overseas,kuala lumpur,0.0
21.3,5.0,11.71,5.0,14.0,93.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
34.6,5.0,34.6,2.0,6.0,107.0,women's clothing,tops,2020-11-23,local,kuala lumpur,0.0
75.0,5.0,75.0,1.0,1.0,35.0,women's clothing,pants & shorts,2020-11-23,local,kuala lumpur,0.8200000000000001
82.28,5.0,82.28,1.0,1.0,53.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
39.9,5.0,39.9,1.0,2.0,33.0,women's clothing,tops,2020-11-23,local,kuala lumpur,0.0
123.0,4.8,36.9,28.0,49.0,104.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
14.5,4.8,14.5,270.0,634.0,896.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
